x|y|output1_output2_output_n 
1|68|1_2_3_68_4_5_69_7_10_13_14_16_20_27_28_29_31_35_38_44_45_50_59_60_61
1|31|32_1_2_35_4_69_38_7_40_10_44_13_45_48_16_50_20_59_60_29_61_31
1|28|1_2_34_35_3_4_5_69_10_44_76_13_14_16_50_20_59_28_60_29_61
1|51|1_2_34_35_99_4_69_38_40_10_44_45_13_16_48_49_50_51_20_59_60_29_61
1|9|1_2_35_4_69_9_10_44_13_16_50_51_20_21_59_60_29_61
1|20|1_2_99_35_4_69_38_10_44_13_16_50_20_21_22_59_60_29_61
1|65|1_65_2_3_35_68_4_5_69_38_7_10_44_13_16_50_20_58_59_60_29_61_31
1|70|1_2_3_35_4_69_70_38_39_10_44_13_16_50_20_59_60_29_61_62
1|66|1_65_66_2_3_4_68_5_69_70_7_10_13_14_16_17_20_27_28_29_31_35_38_40_44_47_50_59_60_61
1|17|1_2_35_68_4_69_38_7_10_44_13_16_17_18_50_20_26_59_60_29_61
1|1|1_2_35_4_69_38_10_44_13_16_50_20_59_60_29_61
1|46|1_2_35_3_4_5_69_38_39_8_10_44_13_46_16_50_20_59_27_60_29_61
1|62|1_2_35_4_69_38_10_44_13_16_50_20_55_59_60_29_61_62
1|27|1_2_35_4_69_10_44_76_13_16_50_20_27_59_28_60_29_61
1|37|1_2_3_35_4_37_5_69_10_44_13_14_16_50_20_59_28_60_29_61
1|30|1_2_66_35_4_68_69_10_44_13_16_50_20_59_60_29_61_30_31
1|49|1_2_35_99_4_69_38_10_44_13_47_16_49_17_50_20_59_60_29_61
1|5|1_2_35_4_5_69_6_7_10_44_13_16_50_20_59_60_28_29_61
1|50|1_2_35_4_69_70_38_10_44_13_46_48_16_50_20_59_60_29_61
1|69|1_65_2_66_3_4_68_69_5_6_70_71_7_8_10_76_13_14_16_17_19_20_28_29_30_31_32_35_38_44_50_59_60_61
1|44|1_65_2_35_3_4_5_69_38_39_42_10_44_13_14_46_16_50_20_59_60_28_29_61
1|32|32_33_1_2_35_99_4_69_10_44_13_16_50_20_59_60_29_61
1|58|1_2_3_35_99_4_5_69_38_10_44_13_14_16_50_51_20_21_58_59_60_29_61_31
1|8|1_2_3_35_4_68_69_6_38_7_8_9_10_44_13_14_16_50_20_59_60_29_61_31
1|21|1_2_99_35_4_69_10_44_13_16_50_20_21_22_59_60_29_61
1|73|1_65_2_66_3_68_4_5_69_6_7_71_73_10_76_13_14_16_17_20_27_28_29_30_35_38_44_47_50_59_60_61
1|34|1_34_2_35_4_69_10_44_13_16_50_20_21_59_60_29_61
1|47|1_65_2_3_35_4_5_69_38_39_10_44_45_13_47_16_50_20_59_28_60_29_61
1|7|1_2_35_68_4_69_38_7_8_10_44_45_13_16_50_51_20_59_60_61_29
1|25|1_2_35_4_69_10_44_13_16_50_20_25_26_59_60_29_61
1|10|1_2_35_99_4_69_10_11_44_13_16_50_20_21_26_59_60_61_29
1|4|1_2_35_4_5_69_10_44_13_16_50_20_59_60_29_61
1|15|1_2_35_4_69_10_44_13_15_16_50_20_59_60_29_61
